Proximity,WordCount,TitleMatch,TfIdf,TitleSimilarity,ContentSimilarity,Score,Phrase,Link,Match
0,0.002109705,0,0.002309785,0.65317148,0.790366054,0.101867572,restrict which keys are permitted and their minimum lengths,https://docs.gitlab.com/ee/user/project/clusters/add_existing_cluster.html,FALSE
0.145007009,0.03826087,0.571428571,0.385381393,0.968648672,0.934850693,30.9653054,restrict which keys are permitted and their minimum lengths,https://docs.gitlab.com/13.12/ee/security/ssh_keys_restrictions.html,TRUE
0.543293019,0.111188811,1,0.885795998,1,0.861078918,62.04577851,deploy key,https://docs.gitlab.com/13.12/ee/user/project/deploy_keys/index.html,TRUE
0.586250404,0.095516569,1,0.950593237,1,0.838631868,62.26904077,Deploy Tokens,https://docs.gitlab.com/13.12/ee/user/project/deploy_tokens/index.html,TRUE
0,0,0,0,0.382646114,0.516261101,0,Deploy Tokens,https://docs.gitlab.com/ee/user/admin_area/settings/third_party_offers.html,FALSE
0.169482112,0.037593985,0.5,0.331103846,0.793999791,0.821534932,26.29414077,package type of your choice,https://docs.gitlab.com/13.12/ee/user/packages/index.html,TRUE
0,0,0,0,0.548607409,0.686814487,0,package type of your choice,https://docs.gitlab.com/13.12/charts/installation/secrets.html#gitlab-rails-secret,FALSE
0,0.063318777,0.333333333,1,0.840772927,0.890092075,16.36998255,Composer,https://docs.gitlab.com/13.12/ee/user/packages/composer_repository/index.html,TRUE
0,0,0,0,0.340590745,0.3817783,0,Composer,https://docs.gitlab.com/13.12/ee/user/project/merge_requests/index.html,FALSE
0.231368453,0.023809524,1,0.332952829,0.932172358,0.727649808,50.26739633,Composer API documentation,https://docs.gitlab.com/13.12/ee/api/packages/composer.html,TRUE
0,0,0,0,0.603712797,0.555672288,0,Composer API documentation,https://docs.gitlab.com/13.12/ee/ci/pipelines/pipeline_architectures.html#basic-pipelines,FALSE
0.262045452,0.045833333,0,0.651905131,0.732598662,0.908628762,10.07985096,HashiCorp Vault,https://docs.gitlab.com/13.12/ee/ci/secrets/index.html,TRUE
0,0,0,0,0.46214959,0.484041482,0,HashiCorp Vault,https://docs.gitlab.com/13.12/ee/ci/troubleshooting.html#fatal-reference-is-not-a-tree-error,FALSE
0.198459362,0.026299694,1,0.452039324,1,0.911796629,50.6934702,Authenticating and Reading Secrets With HashiCorp Vault,https://docs.gitlab.com/13.12/ee/ci/examples/authenticating-with-hashicorp-vault/index.html,TRUE
0,0,0,0,0.502245009,0.649611115,0,Authenticating and Reading Secrets With HashiCorp Vault,https://docs.gitlab.com/13.12/ee/user/project/description_templates.html,FALSE
0,0.063305979,0.333333333,1,0.8766433,0.86929518,16.68044077,Conan,https://docs.gitlab.com/13.12/ee/user/packages/conan_repository/index.html,TRUE
